genres,main_genre,secondary_genre,hours_played
electronic trap,edm,,22.960518611111100
rap metal,rock,,22.375405555555600
virginia hip hop,rap,,21.981266944444400
modern country rock,Country,,21.918036944444400
dinner jazz,focus,jazz,21.871816111111100
folk-pop,indie,,21.67682388888890
vocal jazz,soul,,21.36953972222220
canadian trap,rap,,20.738214444444400
crunk,rap,,20.597255277777800
latin pop,pop,,20.221571666666700
new wave pop,pop,,20.10694833333330
electro,edm,,20.038129722222200
pop edm,edm,,19.810108333333300
background music,focus,,19.626305
electropop,indie,,19.562222777777800
vapor twitch,focus,,19.398113333333300
hip pop,rap,,19.253509722222200
swedish indie pop,indie,,19.057765833333300
portland hip hop,rap,,19.047520833333300
new romantic,rock,,19.015245277777800
p funk,soul,,18.846719166666700
philly soul,sou,,18.72605777777780
harlem hip hop,rap,,18.445656944444400
complextro,focus,,18.373756944444400
classic canadian rock,fock,,18.3689725
melancholia,rock,,18.337290833333300
australian dance,indie,,18.33354
boy band,indie,,18.29376583333330
pop r&b,pop,,17.973457222222200
moombahton,edm,,17.95221972222220
sudanese pop,rap,,17.466713055555600
viral trap,rap,,17.46205388888890
sudanese hip hop,rap,,17.3905225
rain,focus,,17.347269166666700
hawaiian hip hop,rap,,17.33965
dancehall,reggae,,16.79531777777780
anime lo-fi,focus,,16.78347527777780
glitch hop,edm,,16.753878055555600
drumless hip hop,rap,,16.574431666666700
afrofuturism,r&b,,16.40919138888890
reggaeton,pop,,16.394086666666700
big room,edm,Dance,16.07762333333330
dance rock,Indie,dance,15.836219166666700
compositional ambient,focus,,15.609658055555600
baroque,indie,,15.35986861111110
uk reggae,reggae,,15.112181111111100
spacegrunge,rock,,15.102287777777800
memphis soul,soul,,15.078632222222200
background piano,focus,,14.822104166666700
singer-songwriter pop,pop,,14.819204166666700
old school thrash,rock,metal,14.806641388888900
beatlesque,soul,,14.796741944444400
early music,Focus,classical,14.700061666666700
thrash metal,rock,metal,14.694374722222200
new wave,,,14.671819444444400
rap rock,,,14.577199166666700
garage rock,rock,,14.569237777777800
urbano latino,pop,,14.440528333333300
cosmic american,rock,,14.298546944444400
downtempo,focus,,14.238228611111100
psychedelic soul,soul,,13.815277777777800
chicago drill,rap,,13.73851111111110
indie pop,indie,,13.707826944444400
afrobeat,soul,,13.615762222222200
filthstep,edm,,13.574550555555600
smooth jazz,focus,,13.571684444444400
swamp rock,rock,,13.449410833333300
lovers rock,reggae,,13.374184166666700
la indie,indie,,13.274447777777800
modern folk rock,indie,,13.1737475
bronx hip hop,rap,,13.172084166666700
contemporary r&b,r&b,,13.040166388888900
colombian pop,pop,,12.95751361111110
classic country pop,country,,12.922524444444400
swedish electropop,edm,,12.782646388888900
focus,focus,,12.7643025
metropopolis,pop,,12.6322575
swedish synthpop,,,12.568946944444400
swedish alternative rock,,,12.4412375
soundtrack,focus,,12.300210277777800
new americana,indie,,12.281496666666700
detroit trap,rap,,12.273824166666700
experimental hip hop,,,12.2431625
dutch edm,edm,,12.119607222222200
modern blues rock,,,12.057903055555600
chicago bop,,,12.018315833333300
dubstep,edm,,11.969873611111100
orchestral soundtrack,focus,classical,11.874490833333300
future funk,focus,,11.822074722222200
reggae rock,reggae,,11.468579444444400
irish rock,rock,,11.365135555555600
brooklyn indie,indie,,11.265341944444400
soul jazz,soul,,11.241235833333300
canadian singer-songwriter,rock,,11.194364722222200
protopunk,rock,,11.124318333333300
bedroom pop,indie,,10.993638055555600
australian electropop,Indie,dance,10.961480833333300
lo-fi sleep,focus,lofi,10.921183055555600
deep underground hip hop,rap,,10.821193888888900
afropop,reggae,,10.788199444444400
blues,,,10.6195975
latin hip hop,,,10.550337777777800
german soundtrack,focus,Classical,10.485241666666700
seattle indie,,,10.470018611111100
rocksteady,reggae,,10.178806944444400
new french touch,edm,,10.174219444444400
supergroup,rock,,10.05927
indie poptimism,,,10.020037222222200
psychedelic trance,Edm,,9.998656666666670
canadian indie,,,9.922416944444450
scorecore,focus,,9.733243333333330
soul blues,,,9.613820277777780
jazztronica,edm,,9.411036666666670
acoustic pop,,,9.406070555555560
synthpop,,,9.36268
jazz,,,9.272178333333330
chillwave,edm,,9.237148888888890
australian rock,rock,,9.226189444444440
post-disco,disco,,9.221775
australian psych,,,9.149725277777780
indiana hip hop,,,9.129031944444440
deep euro house,edm,,9.067090833333330
sacramento hip hop,,,8.983603888888890
houston rap,,,8.975701388888890
chicago soul,,,8.893886111111110
noise pop,,,8.729713888888890
german baroque,focus,classical,8.712887777777780
new jack swing,rap,,8.692395277777780
future garage,edm,,8.569185
water,focus,,8.562013333333330
dub,edm,,8.54316888888889
neo-classical,focus,classical,8.419451666666670
livetronica,Edm,,8.396049722222220
british soul,,,8.350316388888890
battle rap,,,8.321586944444440
